environment,policy,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
close,+all_fringe,m05_joint_grw_baseline,family,O/U 3.5_under_35,99,74.74747474747475,2.746326670220712,5.50189944204185,5.849632197340395,1.500337982656685,0.7777101511258128
close,+all_fringe,m05_joint_grw_baseline,family,O/U 4.5_over_45,54,9.25925925925926,-32.89363835458875,1.4685359624299863,3.657704182135385,7.014084958925831,1.3995669015553172
close,+all_fringe,m05_joint_grw_baseline,family,O/U 4.5_under_45,28,96.42857142857143,18.531385125156714,2.254263843028115,4.493651733095005,1.2316051139803357,NaN
close,+U0.5,m05_joint_grw_smile_supremacy_w040,family,O/U 0.5_under_05,149,3.3557046979865772,-59.25850186522792,6.308613456451031,3.159798129613029,15.607216940468758,0.7927688940140002
close,+U1.5,m05_joint_grw_smile_supremacy_w040,family,O/U 1.5_under_15,128,19.53125,-2.733477918045755,4.046671932146436,3.0318485935698947,4.889429931435094,1.2220244290922253
close,+U3.5,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_under_35,50,68.0,13.618497960086719,2.3308670527560253,3.2420778696088037,1.5937164180459515,0.8535346443585792
close,+O2.5,m05_joint_grw_smile_supremacy_w040,family,O/U 2.5_over_25,96,48.95833333333333,6.163694701993152,4.786806906942345,2.8921479151798994,2.0820889676668397,1.065118658279398
close,+O3.5,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_over_35,161,30.434782608695656,-4.376139021034499,6.416328825676341,2.493910667171144,3.483332271330003,0.8683587180090023
close,+O4.5,m05_joint_grw_smile_supremacy_w040,family,O/U 4.5_over_45,93,9.67741935483871,6.987586181974823,4.502979290683206,2.8696960845701054,6.883490157341691,1.8310745081027884
close,+BTTS_yes,m05_joint_grw_smile_supremacy_w040,family,BTTS_btts_yes,66,50.0,-1.7106859574584952,3.0747786853586216,1.5569144002545867,1.8676083195726214,0.8616851107440572
close,+BTTS_no,m05_joint_grw_smile_supremacy_w040,family,BTTS_btts_no,64,39.0625,-0.15993936317830332,2.6450810307023205,2.4935518780573926,2.3362258510675464,0.9371292266962868
close,+all_unders,m05_joint_grw_smile_supremacy_w040,family,O/U 0.5_under_05,149,3.3557046979865772,-60.600316404054155,5.9794002471160175,3.159798129613029,15.607216940468758,0.7927688940140002
